Station,Estimated streamflow
3223425,[1067.0528504584204]
3234500,[36395.68329386318]
3237020,[41522.341423287886]
3234000,[8074.702519780877]
3231500,[30650.395647034322]
3230700,[33397.14641714279]
3230800,[4833.231400263008]
3228750,[1754.1880127610664]
3217500,[4861.303390037529]
3226800,[4762.953662035967]
3219500,[6049.909447252265]
3225500,[4360.212652767314]
3228500,[3518.540763206752]
3228805,[1647.2721355320575]
3220000,[3933.806407164787]
